City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,La Ronge,CA,55.1001,-105.2842,12.45,92,100,9.22,overcast clouds
245,Encruzilhada Do Sul,BR,-30.5439,-52.5219,87.39,29,2,4.94,clear sky
246,Ostrovnoy,RU,68.0531,39.5131,26.06,86,100,21.21,overcast clouds
247,Kaitangata,NZ,-46.2817,169.8464,55.92,97,81,3.31,broken clouds
248,Mogapi,BW,-22.323,27.8349,70.99,73,87,9.06,light rain
249,Mandalgovi,MN,45.7625,106.2708,-2.56,90,23,11.01,few clouds
250,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,35.94,98,100,10.69,overcast clouds
251,Lompoc,US,34.6391,-120.4579,82.13,38,0,10.36,clear sky
252,Miquelon,PM,47.0975,-56.3814,35.6,83,46,7.67,scattered clouds
253,Ringebu,NO,61.5167,10.1667,11.07,99,64,1.97,broken clouds
254,General Pico,AR,-35.6566,-63.7568,92.5,26,25,11.77,scattered clouds
255,Yuksekova,TR,37.5736,44.2872,27.23,98,94,3.2,light snow
256,Buin,CL,-33.7333,-70.75,77.05,35,49,10.11,scattered clouds
257,Barrow,US,71.2906,-156.7887,-23.78,76,0,5.75,clear sky
258,Mahebourg,MU,-20.4081,57.7,79.09,83,40,3.44,scattered clouds
259,Ilebo,CD,-4.3167,20.5833,72.91,90,99,2.62,light rain
260,Polovinnoye,RU,54.7914,65.9864,-0.71,96,37,10.45,scattered clouds
261,Naryan-Mar,RU,67.6713,53.087,23.32,89,100,21.85,overcast clouds
262,College,US,64.8569,-147.8028,-6.72,77,100,0.0,light snow
263,Sao Filipe,CV,14.8961,-24.4956,79.7,49,100,8.28,overcast clouds
264,Warmbad,NA,-28.45,18.7333,93.56,16,0,17.11,clear sky
265,Mana,GF,5.6592,-53.7767,82.9,61,38,9.06,scattered clouds
266,Thompson,CA,55.7435,-97.8558,-7.44,77,100,13.8,overcast clouds
267,Kurmanayevka,RU,52.5093,52.0675,25.57,96,100,12.95,light snow
268,Sovetskiy,RU,61.3614,63.5842,8.96,95,100,11.27,overcast clouds
269,Pringsewu,ID,-5.3582,104.9744,72.64,93,100,0.69,overcast clouds
270,Nago,JP,26.5881,127.9761,60.96,75,89,8.97,overcast clouds
271,Saint Anthony,US,45.0205,-93.218,19.24,75,0,8.05,clear sky
272,Marzuq,YE,14.4,46.4667,65.62,40,75,3.02,broken clouds
273,Ahipara,NZ,-35.1667,173.1667,72.75,96,92,9.48,overcast clouds
274,Quatre Cocos,MU,-20.2078,57.7625,78.91,79,17,8.01,light rain
275,Pevek,RU,69.7008,170.3133,-32.28,100,100,7.18,overcast clouds
276,Bantogon,PH,6.5333,124.0333,79.02,81,100,4.36,overcast clouds
277,Sault Sainte Marie,CA,46.5168,-84.3333,25.36,71,100,12.66,overcast clouds
278,Mount Pleasant,US,32.7941,-79.8626,66.18,39,0,4.61,clear sky
279,Cairns,AU,-16.9167,145.7667,76.06,92,11,2.3,few clouds
280,Port Moresby,PG,-9.4431,147.1797,75.85,84,82,10.56,broken clouds
281,Okhotsk,RU,59.3833,143.3,5.32,89,100,5.1,overcast clouds
282,Mingguang,CN,32.7802,117.9638,39.74,75,100,5.61,overcast clouds
283,San Policarpo,PH,12.1791,125.5072,79.11,80,100,15.99,overcast clouds
284,Tutoia,BR,-2.7619,-42.2744,87.78,69,56,9.55,broken clouds
285,Emba,KZ,48.8264,58.1442,19.71,87,100,16.6,overcast clouds
286,Yingkou,CN,40.6648,122.2283,29.37,78,1,9.26,clear sky
287,Hofn,IS,64.2539,-15.2082,24.82,63,20,10.36,few clouds
288,Isiro,CD,2.7739,27.616,78.94,33,100,2.46,overcast clouds
289,Townsville,AU,-19.25,146.8,79.68,74,75,6.91,broken clouds
290,Djambala,CG,-2.5447,14.7533,79.25,59,73,2.86,broken clouds
291,Norman Wells,CA,65.282,-126.8329,-11.16,70,100,13.8,light snow
292,Kayerkan,RU,69.3497,87.7602,-11.74,89,56,9.08,broken clouds
293,Sheltozero,RU,61.3667,35.3667,28.54,90,59,13.76,broken clouds
294,Saint-Augustin,CA,51.226,-58.6502,23.5,88,100,5.44,overcast clouds
295,Elban,RU,50.1018,136.5094,-6.97,98,93,2.93,overcast clouds
296,Karasjok,NO,69.4719,25.5112,15.91,100,100,4.14,overcast clouds
297,Fitchburg,US,42.5834,-71.8023,50.49,65,82,8.01,broken clouds
298,Goruia,RO,45.1862,21.7781,50.77,73,7,2.53,clear sky
299,Deputatskiy,RU,69.3,139.9,-24.39,95,87,6.22,overcast clouds
300,Nyurba,RU,63.2842,118.3319,-34.08,100,62,2.89,broken clouds
301,Manggar,ID,-2.8833,108.2667,76.69,85,100,10.07,overcast clouds
302,Funadhoo,MV,6.15,73.2667,81.55,74,51,11.63,broken clouds
